reader_id,local_name,stop_name,stop_lat,stop_lon
0x68001100,罗湖,Luohu,22.533796767578124,114.1132237988281
0x68002100,国贸,Guomao,22.542685546875,114.113782578125
0x68003100,老街,Laojie,22.547124326171875,114.11127891601564
0x68004100,大剧院,Grand Theater,22.547401884765627,114.09820670898438
0x68005100,科学馆,Science Museum,22.54601493652344,114.08459121582031
0x68006100,华强路,Huaqiang Road,22.545754091796873,114.07376182617188
0x68007100,岗厦,Gangxia,22.54049728515625,114.05794525390624
0x68008100,会展中心,Convention and Exhibition Center,22.540233154296878,114.04961624023437
0x68009100,购物公园,Shopping Park,22.537173764648436,114.04961685058593
0x68010100,香蜜湖,Xiangmihu,22.54448198242188,114.02893530273437
0x68011100,车公庙,Chegongmiao,22.538915175781256,114.02078361328122
0x68012100,竹子林,Zhuzilin,22.536453017578125,114.00831413085936
0x68013100,侨城东,Qiaocheng East,22.535396118164066,113.99058990722655
0x68014100,华侨城,Overseas Chinese Town,22.536536025390625,113.98033493164061
0x68015100,世界之窗,Window of the World,22.53989532226563,113.9695193457031
0x68016100,白石洲,Baishizhou,22.542413632812504,113.9625927734375
0x68017100,高新园,Hi-Tech Park,22.54322015039063,113.94907696679687
0x68018100,深大,Shenzhen University,22.541631850585937,113.93929756347656
0x68019100,桃园,Taoyuan,22.535545654296875,113.91986038085935
0x68020100,大新,Daxin,22.534992978515625,113.91042038085936
0x68021100,鲤鱼门,Liyumen,22.534992978515625,113.90263549804689
0x68022100,前海湾,Qianhaiwan,22.541663588867188,113.89819244628906
0x68023100,新安,Xin'an,22.55055053710938,113.88984329101564
0x68024100,宝安中心,Bao'an Center,22.55776321289062,113.88205108398435
0x68025100,宝体,Bao'an Stadium,22.563598330078122,113.8762113183594
0x68026100,坪洲,Pingzhou,22.571913681640623,113.8656393457031
0x68027100,西乡,Xixiang,22.578841474609376,113.85727981445311
0x68028100,固戍,Gushu,22.602982177734383,113.84224075195311
0x68029100,后瑞,Hourui,22.631286542968752,113.83081779296873
0x68030100,机场东,Airport East,22.64986846679688,113.81801239257811
0x61002100,福保,Fubao,,
0x61003100,益田,Yitian,22.51913108886719,114.04629417480469
0x61004100,石厦,Shixia,22.525516816406252,114.04850990234374
0x61005100,购物公园,Shopping Park,22.537173764648436,114.04961685058593
0x61006100,福田,Futian,22.541058881835937,114.05156440917968
0x61007100,少年宫,Children's Palace,22.55301193359375,114.04989501953125
0x61008100,莲花村,Lianhuacun,22.55131812988281,114.06265976074219
0x61009100,华新,Huaxin,22.551576767578126,114.08153938476562
0x61010100,通新岭,Tongxinling,22.551851884765625,114.09070182617188
0x61011100,红岭,Hongling,22.558012484765626,114.10516489179687
0x61012100,老街,Laojie,22.547124326171875,114.11127891601564
0x61013100,晒布,Shaibu,22.552129208984375,114.11767868164063
0x61014100,翠竹,Cuizhu,22.559364091796873,114.12519088867188
0x61015100,田贝,Tianbei,22.57019409179687,114.12519088867188
0x61016100,水贝,Shuibei,22.576859208984374,114.12129356445311
0x61017100,草埔,Caopu,22.5865706640625,114.11210769531252
0x61018100,布吉,Buji,22.604071884765624,114.11656379882811
0x61019100,木棉湾,Mumianwan,22.60935920898438,114.12490600585937
0x61020100,大芬,Dafen,22.616586533203126,114.13325309570311
0x61021100,丹竹头,Danzhutou,22.62243118164063,114.14272506835937
0x61022100,六约,Liuyue,22.636936723632815,114.17530868652342
0x61023100,塘坑,Tangkeng,22.642507475585937,114.18756042480469
0x61024100,横岗,Henggang,22.65142372070313,114.20399131835939
0x61025100,永湖,Yonghu,22.660603486328128,114.21261840820313
0x61026100,荷坳,He'ao,22.67588836914063,114.21957061523437
0x61027100,大运,Universiade,22.68893836914063,114.22346793945312
0x61028100,爱联,Ailian,22.700050810546884,114.22875526367187
0x61029100,吉祥,Jixiang,22.71227325195313,114.23904747070313
0x61030100,龙城广场,Longcheng Square,22.720053251953125,114.24960479492188
0x61031100,南联,Nanlian,22.72477081054688,114.26072967773439
0x61032100,双龙,Shuanglong,,
0x61033100,内环路,Neihuan Road,,
0x61034100,新城路,Xincheng Road,,
0x61035100,坪西,Pingxi,,
0x61036100,环城南,Huancheng South,,
0x61037100,教育路,Jiaoyu Road,,
0x61038100,富坪街,Fuping Street,,
0x61039100,六联,Liulian,,

