id,name,mode,comment
18,18,BUS
91,9,TRAM,unsure
107,7,TRAM,
209,9,TROLLEYBUS,
301,1,TROLLEYBUS,
307,7,TROLLEYBUS,unsure
308,8,TROLLEYBUS,
2033,33,BUS
