reader_id,stop_name,local_name,ref,line_id,note,stop_lat,stop_lon
0x7b,Touqianzhuang,頭前庄,O17,4,,25.039735,121.461655
0x7c,Xianse Temple,先嗇宮,O16,4,,25.04632,121.47165
0x7d,Sanchong,三重,O15,4,,25.05571,121.48422
0x7e,Cailiao,菜寮,O14,4,,25.059451,121.491421
0x7f,Taipei Bridge,台北橋,O13,4,,25.063075,121.500575
0x80,Daqiaotou,大橋頭,O12,4,,25.06322,121.5130035
0x82,Zhongshan Elementary School,中山國小,O10,4,,25.062665,121.526609
0x83,Xingtian Temple,行天宮,O09,4,,25.05924,121.53315
0x84,Songjiang Nanjing,松江南京,"G15,O08","3,4",,25.052693,121.53285
0x86,Dongmen,東門,"R07,O06","2,4",,25.033894,121.528766
0xae,Luzhou,蘆洲,O54,4,,25.09152,121.46471
0xaf,Sanmin Senior High School,三民高中,O53,4,,25.085425,121.473365
0xb0,St. Ignatius High School,徐匯中學,O52,4,,25.080485,121.479945
0xb1,Sanhe Junior High School,三和國中,O51,4,,25.07646,121.486795
0xb2,Sanchong Elementary School,三重國小,O50,4,,25.070275,121.49701
0xb3,Huilong,迴龍,O21,4,,25.022107,121.411757
0xb4,Danfeng,丹鳳,O20,4,,25.029073,121.422422
