reader_id,stop_name,short_name,line_id,stop_lat,stop_lon,comment
13166,Crossroads at 196 SB,Crossroads at 196 SB,7,47.82083443,-122.3156029,
13167,Cherry Hill & 176 NB,Cherry Hill & 176 NB,7,47.83962778,-122.2989732,
13168,International 174 SB,International 174 SB,7,47.84082318,-122.2983107,
13169,148th St NB,148th St NB,7,47.86477396,-122.2812653,
13170,148th St SB,148th St SB,7,47.86380225,-122.2824883,
13171,Lincoln Way NB,Lincoln Way NB,7,47.87335661,-122.2732186,
13172,Lincoln Way SB,Lincoln Way SB,7,47.87394673,-122.2730309,
13173,Airport Rd NB,Airport Rd NB,7,47.889557,-122.258067,
13174,Airport Rd SB,Airport Rd SB,7,47.889246,-122.258825,
13175,4th Ave NB,4th Ave NB,7,47.90970467,-122.2392565,
13176,4th Ave SB,4th Ave SB,7,47.90998154,-122.2394013,
13177,Casino Rd NB,Casino Rd NB,7,47.92117032,-122.2285223,
13178,Casino Rd SB,Casino Rd SB,7,47.92129974,-122.2288334,
13179,50th St NB,50th St NB,7,47.95208867,-122.2134268,
13180,50th St SB,50th St SB,7,47.95167909,-122.2139204,
13181,40th St NB,40th St NB,7,47.96491348,-122.2106802,
13182,41st St SB,41st St SB,7,47.9628804,-122.2109485,
13183,Colby Ave EB,Colby Ave EB,7,47.97647104,-122.2079873,
13184,Wetmore Ave WB,Wetmore Ave WB,7,47.97667932,-122.2067857,
13185,Aurora Village TC,Aurora Village TC,7,47.77429267,-122.3411201,
13186,Everett Station Bay 1,Everett Station,7,47.97478678,-122.1974981,
13187,Peck Drive SB,Peck Drive SB,7,47.94140968,-122.2178042,
13188,Merrill Creek Test & Training Station,Merrill Creek,7,47.9339669,-122.2518985,
13189,Madison St NB,Madison St NB,7,47.93652938,-122.2187161,
13190,112th SB,112th SB,7,47.89611085,-122.2524154,
13191,112th NB,112th NB,7,47.89683019,-122.2512621,
13206,Tukwila Light Rail Station Bay 1,TIBS Bay 1,1,47.464098,-122.2881761,
13207,S 176th St SB,176th St SB,1,47.4453209,-122.2964573,
13208,S 176th St NB,176th St NB,1,47.44561657,-122.2960979,
13209,S 182nd St SB,182nd St SB,1,47.43979347,-122.2961837,
13210,S 180nd St NB,180nd St NB,1,47.44245657,-122.2959262,
13211,S 188th St SB,188th St SB,1,47.43402052,-122.2956795,
