reader_id,stop_name
0x5032250,Nanterre-Université|Nanterre-Ville|Nanterre-Préfecture
0x5032210,Charles de Gaulle-Etoile
0x5032290,Le Vésinet-Centre|Le Vésinet-Le Pecq|Saint-Germain-en-Laye
0x5032280,Chatou-Croissy
0x5032240,La Défense (Grande Arche)
0x5032260,Rueil-Malmaison
0x5032ac0,Gretz-Armainvilliers|Tournan
0x5032a60,Nogent Le-Perreux
0x5032a70,Les Boullereaux Champigny
0x5032af0,Courquetaine|Faremoutiers Pommeuse|Guerard La-Celle-sur-Morin|Liverdy en Brie|Marles-en-Brie|Mormant|Mortcerf|Mouroux|Ozouer le voulgis|Verneuil-l'Etang|Villepatour - Presles|Yebles|Yebles - Guignes
0x5032a80,Villiers-sur-Marne
0x5032b10,Champbenoist-Poigny|La Ferté-Gaucher|Longueville|Provins|Sainte-Colombe-Septveilles
0x5032a90,Les Yvris Noisy-le-Grand
0x5032b20,Flamboin|Meilleray|Villiers St Georges
0x5032aa0,Emerainville|Roissy-en-Brie
0x5032a50,Rosny-Bois-Perrier|Rosny-sous-Bois|Val de Fontenay
0x5032ab0,Ozoir-la-Ferrière
0x5032b00,Chailly Boissy-le-Châtel|Chauffry|Coulommiers|Jouy-sur-Morin Le-Marais|Nangis|Saint-Rémy-la-Vanne|Saint-Siméon
0x50346c0,Triel-sur-Seine|Vaux-sur-Seine
0x5034660,Argenteuil
0x50346d0,Meulan Hadricourt|Thun-le-Paradis
0x50346e0,Gargenville|Juziers
0x50346f0,Issou Porcheville|Limay
0x5034680,Cormeilles-en-Parisis|Val d'Argenteuil
0x5034640,Bois-Colombes
0x5034690,Herblay|La Frette Montigny
0x50346a0,Conflans-Fin d'Oise|Conflans-Sainte-Honorine
0x5034650,Colombes|Le Stade
0x50346b0,Andrésy|Chanteloup-lès-Vignes|Maurecourt
0x5034700,Breval|Ménerville
0x50356a0,Brunoy
0x50356c0,Lieusaint Moissy
0x5035710,Champagne-sur-Seine|Héricy|La Grande Paroisse|Vernou-sur-Seine|Vulaines-sur-Seine Samoreau
0x5035690,Montgeron Crosne|Yerres
0x50356b0,Boussy-Saint-Antoine|Combs-la-Ville Quincy
0x50356d0,Cesson|Savigny-le-Temple Nandy
0x50356f0,Le Mée|Melun
0x5035700,Chartrettes|Fontaine-le-Port|Livry-sur-Seine
0x5036650,Le Bourget
0x50366c0,Dammartin Juilly Saint-Mard|Thieux Nantouillet
0x5036670,Blanc-Mesnil|Drancy
0x5036690,Sevran Livry|Vert-Galant
0x50366b0,Compans|Mitry Claye|Mitry-Claye
0x50366a0,Villeparisis
0x5036640,La Courneuve-Aubervilliers|La Plaine-Stade de France
0x5036680,Aulnay-sous-Bois
0x50392b0,Eragny Neuville|Saint-Ouen-l'Aumône (Eglise)
0x5037aa0,Fontenay-le-Fleury
0x5037ac0,Plaisir Grignon|Plaisir Les-Clayes
0x5037ab0,Villepreux Les-Clayes
0x5037ad0,Beynes|Mareil-sur-Mauldre|Maule|Nézel Aulnay
0x5037af0,Garancières La-Queue|Montfort-l'Amaury Méré|Orgerus Behoust|Tacoignères Richebourg|Villiers Neauphle
0x5037b00,Houdan
0x5038c90,Parc des Expositions|Sevran-Beaudottes|Villepinte
0x5038ca0,Aéroport Charles de Gaulle 1|Aéroport Charles de Gaulle 2
0x50382a0,Igny
0x50382c0,Longjumeau
0x50382e0,Gravigny-Balizy|Petit-Vaux
0x5038290,Vauboyen
0x50382b0,Massy-Palaiseau
0x50382d0,Chilly-Mazarin
0x5038280,Jouy-en-Josas|Petit-Jouy-les-Loges
0x5038050,Issy|Meudon-Val-Fleury
0x5038010,Champ de Mars-Tour Eiffel
0x5038020,Javel
0x5038000,Pont de l'alma|Invalides
0x5038030,Boulevard Victor - Pont du Garigliano
0x5038040,Issy-Val de Seine
0x5039070,Sannois
0x50358c0,Essonnes-Robinson|Villabé
0x50358e0,Boissise-le-Roi|Ponthierry Pringy
0x5035910,Bagneaux-sur-Loing|Bourron-Marlotte Grez|Fontainebleau-Avon|Montereau|Montigny-sur-Loing|Moret Veneux-les-Sablons|Nemours Saint-Pierre|Saint-Mammés|Souppes|Thomery
0x50358d0,Coudray-Montceaux|Le Plessis-Chenet-IBM|Saint-Fargeau
0x50358f0,Vosves
0x5035900,Bois-le-Roi
0x5036850,Stade de France-Saint-Denis
0x5036860,Pierrefitte Stains
0x5036870,Garges-Sarcelles
0x50368b0,La Borne-Blanche|Survilliers-Fosses
0x5036880,Villiers-le-Bel (Gonesse -
0x50368a0,Goussainville|Les Noues|Louvres
0x50378c0,Coignières|La Verrière
0x5037860,Chaville-Rive Gauche|Chaville-Vélizy|Viroflay-Rive Gauche
0x50378d0,Les Essarts-le-Roi
0x5037810,Gare Montparnasse|Paris Montparnasse3 Vaug.
0x50378e0,Le Perray|Rambouillet
0x5037870,Versailles-Chantiers
0x50378f0,Gazeran
0x5037840,Clamart|Vanves Malakoff
0x50378a0,Saint-Cyr
0x5037850,Bellevue|Bièvres|Meudon
0x50378b0,Saint-Quentin-en-Yvelines -|Trappes
0x5032460,Massy-Palaiseau|Massy-Verrières
0x5032400,Denfert-Rochereau
0x5032410,Gentilly
0x5032430,Bagneux|Bourg-la-Reine
0x5032470,Palaiseau|Palaiseau Villebon
0x5032480,Lozère
0x5032440,La Croix-de-Berny|Parc de Sceaux
0x5032490,Le Guichet|Orsay-Ville
0x5032420,Arcueil-Cachan|Laplace
0x5032450,Antony|Fontaine-Michalon|Les Baconnets
0x50324a0,Bures-sur-Yvette|Courcelle-sur-Yvette|Gif-sur-Yvette|La Hacquinière|Saint-Rémy-lès-Chevreuse
0x5032c70,Allée de la Tour-Rendez-Vous|La Remise-à-Jorelle|Les Coquetiers|Les Pavillons-sous-Bois
0x5032c90,Freinville Sevran|L'Abbaye|Lycée Henri Sellier|Rougemont-Chanteloup
0x5032c80,Gargan
0x5033c50,Puteaux|Suresnes Mont-Valérien
0x5033c10,Gare Saint-Lazare
0x5033c70,Garches Marne-la-Coquette|Le Val d'Or|Saint-Cloud
0x5033c90,Bougival|La Celle-Saint-Cloud|Louveciennes|Marly-le-Roi
0x5033ca0,L'Etang-la-Ville|Saint-Nom-la-Bretêche Forêt
0x5033c30,Pont Cardinet
0x5033c40,Asnières|Bécon-les-Bruyères|Clichy Levallois|Courbevoie|La Défense (Grande Arche)
0x5033c80,Vaucresson
0x3021cc0,Campo-Formio
0x3021cd0,Les Gobelins
0x3021c30,Porte d'Italie
0x3021cf0,Corvisart
0x3021c40,Cité universitaire
0x3021ce0,Place d'Italie
0x3021c20,Porte de Choisy
0x3021ca0,Tolbiac
0x3021cb0,Nationale
0x3021c90,Maison Blanche
0x30202c0,Louvre - Rivoli
0x3020260,Maubert - Mutualité
0x30202d0,Pont Neuf
0x3020210,Saint-Michel
0x30202e0,Cité
0x3020270,Luxembourg
0x30202f0,Hôtel de Ville
0x3020280,Châtelet
0x3020240,Odéon
0x30202a0,Les Halles
0x30202b0,Les Halles
0x3020250,Cluny - La Sorbonne
0x3020290,Les Halles
0x30206c0,Bobigny - Pablo Picasso
0x3020660,Fort d'Aubervilliers
0x3020670,La Courneuve - 8 Mai 1945
0x3020640,Porte de la Villette
0x30206a0,Église de Pantin
0x3020650,Aubervilliers - Pantin - Quatre Chemins
0x30206b0,Bobigny - Pantin - Raymond Queneau
0x3020690,Hoche
0x3020ec0,Mirabeau
0x3020e30,Porte de Saint-Cloud
0x3020e70,Porte d'Auteuil
0x3020ef0,Jasmin
0x3020e80,Église d'Auteuil
0x3020ea0,Michel-Ange - Molitor
0x3020ee0,Exelmans
0x3020eb0,Chardon-Lagache
0x3020e90,Michel-Ange - Auteuil
0x3021e60,Olympiades
0x3021e10,Cour Saint-Emilion
0x3021e30,Bibliothèque François Mitterrand
0x3021e80,Glacière
0x3021e40,Mouton-Duvernet
0x3021ee0,Denfert-Rochereau
0x3021e20,Porte d'Orléans
0x3021e50,Alésia
0x3021ea0,Raspail
0x3021e90,Saint-Jacques
0x3023ec0,Rome
0x3023e60,Pigalle
0x3023ed0,Place de Clichy
0x3023e30,Funiculaire de Montmartre (station supérieure)
0x3023e70,Blanche
0x3023e80,Trinité - d'Estienne d'Orves
0x3023e40,Anvers
0x3023ee0,La Fourche
0x3023e20,Funiculaire de Montmartre (station inférieure)
0x3023e50,Abbesses
0x3023ea0,Saint-Georges
0x3023e90,Notre-Dame-de-Lorette
0x30220c0,Félix Faure
0x3022060,Porte de Versailles
0x30220d0,Charles Michels
0x3022010,Falguière
0x3022030,Volontaires
0x30220e0,Javel - André Citroën
0x3022040,Vaugirard
0x30220a0,Lourmel
0x3022020,Pasteur
0x3022050,Convention
