reader_id,stop_id,stop_code,short_name,comment
0x1b0001,12030042,,Alameda Main St.,
0x1b0005,12030043,,Oakland,
0x1b0008,2455444,,Ferry Building,
0x1b0009,12048538,,Pier 41,
