reader_id,stop_name,stop_lat,stop_lon
0x3c1afe6,Laerbeek,50.889909391953275,4.320841628149435
0x3c1a3eb,Pompiers,50.89198859117456,4.320496971329279
0x3c1a3ec,Liebrecht,50.89045654964309,4.328424078192875
0x3c1a3ed,Schuermans,50.88826791888384,4.328510242397915
0x3c1a403,Legrelle,50.87716061778066,4.329027227628149
0x3c1a3e8,Legrelle,50.87716061778066,4.329027227628149
0x3c1a42d,Soetens,50.887118887735234,4.329458048653345
0x3c1a42e,Schuermans,50.88886979234263,4.329630377063423
0x3c1a402,Liebrecht,50.89045654964309,4.328424078192875
0x3c1a433,Pompiers,50.89198859117456,4.320496971329279
0x3c1b081,Laerbeek,50.889909391953275,4.320841628149435
0x3c1c437,De Rivieren,50.8808265743024,4.324805181581233
0x3c1c403,Legrelle,50.87716061778066,4.329027227628149
0x3c1c3fd,Armateurs,50.86523258014277,4.359184699391833
0x3c1c41e,Armateurs,50.86523258014277,4.359184699391833
0x3c1c41d,Flessingue,50.86692876898118,4.341779529973936
0x3c1c3e8,Legrelle,50.87716061778066,4.329027227628149
0x3c1cfe1,De Rivieren,50.8808265743024,4.324805181581233
0x3c1e41e,Armateurs,50.86523258014277,4.359184699391833
0x3c1e41d,Flessingue,50.86692876898118,4.341779529973936
0x3c1e3e8,Legrelle,50.87716061778066,4.329027227628149
0x3c1e42d,Soetens,50.887118887735234,4.329458048653345
0x3c1e42e,Schuemans,50.88886979234263,4.329630377063423
0x3c1e402,Liebrecht,50.89045654964309,4.328424078192875
0x3c1e433,Pompiers,50.89198859117456,4.320496971329279
0x3c1f081,Laerbeek,50.889909391953275,4.320841628149435
0x3c1efe6,Laerbeek,50.889909391953275,4.320841628149435
0x3c1e3eb,Pompiers,50.89198859117456,4.320496971329279
0x3c1e3ec,Liebrecht,50.89045654964309,4.328424078192875
0x3c1e3ed,Schuemans,50.88826791888384,4.328510242397915
0x3c1e403,Legrelle,50.87716061778066,4.329027227628149
0x3c1e3fd,Armateurs,50.86523258014277,4.359184699391833
0x3c230d8,Ortolans,50.802254730045426,4.406919668983493
0x3c230c3,Pepiniere,50.78687959896171,4.419930463944397
0x3c23104,Ortolans,50.802254730045426,4.406919668983493
0x3c28453,Hopital Français,50.869555125892276,4.3108465803649
0x3c28493,KU Brussel,50.86468542245295,4.331956810599479
0x3c2849d,KU Brussel,50.86468542245295,4.331956810599479
0x3c284a4,Hopital Français,50.869555125892276,4.3108465803649
0x3c2a48c,Ducale,50.841650083711876,4.370127553431798
0x3c2a588,Froissard,50.8407199156392,4.388308200695048
0x3c2acb3,Flasky,50.84974801752109,4.400802010425717
0x3c2b1ce,RTL,50.8566969201817,4.412003357080799
0x3c2ad23,Germinal,50.87245506164828,4.4171732093831455
0x3c2ace5,Nato,50.87261920895522,4.428805377063423
0x3c2ace5,Nato,50.87261920895522,4.428805377063423
0x3c2ace6,Nato,50.87261920895522,4.428805377063423
0x3c2ace7,Germinal,50.87245506164828,4.4171732093831455
0x3c2b194,RTL,50.8566969201817,4.412003357080799
0x3c2c4bd,Charlemagne,50.84422172485399,4.385723274543875
0x3c2c4bf,Joseph II,50.84684808176509,4.377796167680278
0x3c2c4c0,Guimard,50.84411229331603,4.377451510860122
0x3c2c4c1,Belliard,50.8427443990915,4.376676033014769
0x3c2c4ef,Belliard,50.84236138870863,4.375211241529105
0x3c2c4f0,Guimard,50.8438934302401,4.375986719374457
0x3c2c4f2,Joseph II,50.84684808176509,4.377796167680278
0x3c3648c,Ducale,50.84148593640493,4.370041389226759
0x3c3a628,Anspach-De Brouckere,50.851498922128485,4.355738131190269
0x3c3a627,Assaut,50.849529154445165,4.360218669852302
0x3c446ac,Parnasse,50.836452085658664,4.376848361424848
0x3c447be,Parnasse,50.836452085658664,4.376848361424848
0x3c49581,Woluwe,50.8316918137573,4.433027423110339
0x3c48742,Woluwe,50.8316918137573,4.433027423110339
0x3c4c628,Anspach-De Brouckere,50.851498922128485,4.355738131190269
0x3c4c627,Assaut,50.849529154445165,4.360218669852302
0x3c4c774,Parnasse,50.836452085658664,4.376848361424848
0x3c4c7be,Parnasse,50.836452085658664,4.376848361424848
0x3c4c7c6,Ducale,50.84148593640493,4.370041389226759
0x3c527fd,Sapiniere,50.80252830889033,4.3859817671589925
0x3c52a98,Hopital Deux Alice,50.805428244646336,4.348586502172024
0x3c52aab,Sapiniere,50.80252830889033,4.3859817671589925
0x3c54519,Vellemolen,50.845808482154446,4.441471515204171
0x3c547ce,Debecker,50.84351041985723,4.440265216333623
0x3c54719,Woluwe,50.8316918137573,4.433027423110339
0x3c547d8,Val Duchesse,50.82145996495782,4.4304424969591665
0x3c5480b,Val Duchesse,50.82145996495782,4.4304424969591665
0x3c54742,Woluwe,50.8316918137573,4.433027423110339
0x3c54811,Vellemolen,50.845808482154446,4.441471515204171
0x3c5678a,Chateau d'Or,50.79317191239455,4.323598882710686
0x3c5678d,Moensberg Station,50.78408909474367,4.324374360556038
0x3c56879,Biches,50.78206461129137,4.332559960034752
0x3c567a5,Moensberg Station,50.78408909474367,4.324374360556038
0x3c567a8,Chateau d'Or,50.79317191239455,4.323598882710686
0x3c5a5fc,Tractebel,50.85516487865023,4.435526185056473
0x3c5ad88,Tractebel,50.85516487865023,4.435526185056473
0x3c5c8cd,Parking 58,50.85122534328358,4.351516085143354
0x3c5e8cd,Parking 58,50.85122534328358,4.351516085143354
0x3c5e899,Quai des Usines,50.87759834393251,4.378140824500434
0x3c5ebf8,Dghr Domaine Militaire,50.90112612459442,4.407781311033884
